# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
1,1332281,620339,1976325,337099620,23944453,15173195,30320792,324059794,200,76260,2261017,175258755,1176,32449,21180,19403099,624288,0
7,2474305,1019568,6152661,302631831,46741817,38958535,50263673,755986914,308,260240,4080110,129113805,3943,110697,71489,60111913,1023905,0
6,3491915,1272092,9812524,262809133,61221777,59290230,63405121,1048071650,302,509502,5615886,107497590,7928,216302,139543,95757803,1282881,0
5,4408288,1436873,12545804,230434778,70728568,74674597,72102565,1246853183,411,795942,6938293,93813834,12411,337384,216893,122545285,1447107,0
5,5265593,1544141,14503946,206876785,76988404,85882674,77856327,1381026677,535,1106316,8124505,84809694,17695,467628,301090,141560591,1552412,0
5,6106061,1609256,15868771,190370249,81157239,93879865,81704358,1471841874,350,1443655,9264110,79006480,22920,608320,389311,154893174,1620852,0
5,6932988,1655901,16819907,178941430,83937041,99695814,84273079,1533704508,504,1794049,10361569,75102710,28602,756248,480365,164269938,1666244,0
10,7767838,1675985,17506336,171034442,85805040,103976463,86006788,1576165516,498,2165932,11458850,72593450,35104,909535,577950,170952385,1694177,0
1,8620708,1697699,18009064,165527216,87065534,107116299,87178345,1605769077,405,2553146,12564470,70826302,41721,1073231,679706,175823273,1710566,0
7,9534038,1705180,18376639,161735876,87929289,109504833,87985259,1626742127,576,2979500,13744980,69663995,48476,1250173,788056,179488254,1720386,0
9,10529917,1715720,18664321,159249763,88520852,111420931,88540591,1642016991,539,3441352,15029481,68900201,56800,1442528,908117,182386879,1731524,0
10,11548151,1725066,18899549,157496291,88928140,112925185,88922421,1653244040,537,3926924,16337058,68362937,64990,1640945,1030912,184688839,1734362,0
4,12677093,1722400,19091478,156411057,89222395,114181801,89200558,1661946628,589,4463070,17783209,68015201,73895,1863149,1167956,186659699,1735813,0
4,13975041,1731562,19268223,155924360,89434222,115319372,89400037,1669113769,511,5076275,19449044,67722524,84870,2118596,1324137,188484942,1739738,0
3,15370791,1729410,19435567,155791550,89593499,116303538,89551772,1675026946,532,5742255,21232566,67564598,96546,2392812,1490551,190140473,1741518,0
2,16983470,1725540,19597940,156056290,89713084,117281009,89666886,1680437326,501,6510657,23302351,67431301,109401,2711517,1683813,191809758,1742371,0
5,18766749,1731837,19761485,156580395,89803592,118197702,89755265,1685367223,371,7365296,25578498,67324796,124420,3060612,1899499,193488893,1742838,0
4,20867004,1728235,19934034,157423630,89879589,119175402,89828737,1690359057,507,8376278,28262199,67195683,142368,3470869,2152116,195303335,1741987,0
11,23406458,1730896,20136378,158784172,89952967,120243501,89900739,1695654216,578,9581785,31518733,67177232,162969,3976425,2453137,197371040,1743241,0
13,26397091,1731190,20356733,160473087,90029104,121431743,89973944,1701584493,553,11007889,35354880,67132056,188957,4566553,2810471,199752295,1744064,0
9,30113988,1732511,20626074,162793287,90111194,122809373,90054546,1708381222,535,12785266,40120970,67113577,219841,5297598,3257957,202574328,1744964,0
14,34579429,1731040,20923342,165563955,90177735,124443667,90120130,1716109975,565,14935398,45827800,67139745,257519,6173165,3791386,205864952,1741762,0
10,40781839,1730198,21352852,169743912,90277954,126611430,90220548,1726581673,404,17902852,53758608,67168785,310008,7392329,4533847,210426842,1743551,0
6,48876428,1733322,21910149,175202087,90396205,129458362,90338890,1740225246,622,21778539,64132081,67222850,379026,8989222,5495667,216366435,1742624,0
8,61235598,1729110,22743960,183744642,90561173,133667017,90502391,1760401237,593,27706435,79940037,67190409,482449,11419673,6965650,225229149,1743324,0
8,80584418,1732695,24038078,197255104,90825375,140245270,90765623,1791918424,493,36970427,104716018,67314887,647606,15229204,9271712,239161889,1743940,0
8,117376224,1732044,26498242,223061805,91311591,152669060,91252519,1851345665,657,54614608,151787557,67497698,959421,22460230,13658389,265503281,1744060,0
9,212215007,1728833,32840582,289978060,92550568,184595509,92490467,2004027951,503,100051300,273183153,68037934,1763350,41131533,24951242,333270544,1743655,0
