# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
3,1331671,619954,1978330,337096882,23944267,15170941,30326663,324058545,234,76408,2260474,175246992,1152,32671,20951,19400183,623541,0
6,2482438,1019059,6151939,302660761,46736146,38961127,50257128,755895027,362,261649,4092066,129097050,3961,111267,72118,60113705,1026268,0
4,3491768,1272283,9808387,262805593,61211178,59264568,63399674,1047959520,330,510781,5612080,107540733,7967,216286,139575,95762523,1282447,0
9,4406189,1435543,12552788,230443700,70720959,74667249,72096148,1246711463,449,796973,6930563,93772536,12377,338206,215766,122527298,1444709,0
12,5271098,1542609,14497394,206874136,77000699,85858236,77868801,1381145183,491,1108489,8140130,84826643,17475,469078,299252,141581248,1553468,0
6,6106559,1607272,15869128,190369482,81162604,93895839,81705175,1471986584,447,1442450,9264576,78970044,22818,609060,388581,154903734,1621388,0
9,6927519,1652098,16822205,178903339,83944018,99704301,84276883,1533759539,462,1793718,10358038,75138924,28618,755713,478993,164264637,1664073,0
3,7759734,1679116,17504548,170994841,85808637,103948402,86008915,1576188622,593,2164283,11445004,72551769,34482,909493,576318,170944739,1692072,0
9,8639585,1701364,17996751,165561662,87059724,107123423,87172968,1605776125,537,2564226,12589438,70853939,41523,1076091,678990,175829173,1711775,0
5,9540566,1708865,18382778,161772201,87926023,109536988,87983402,1626754116,543,2978813,13755487,69655707,48729,1251264,788377,179500374,1722625,0
6,10512646,1721099,18672321,159222839,88516067,111405015,88535098,1641944439,523,3435903,15007968,68909766,55821,1437675,906037,182366820,1731800,0
