# Decay,NoProcess,Radioactivation,Rayl,Transportation,annihil,compt,conv,eIoni,hIoni,hadElastic,ionIoni,msc,nCapture,nFission,neutronInelastic,phot,photonNuclear,Other
2,1333596,621253,1973722,337076804,23939317,15171989,30319853,324006112,212,76519,2263294,175253486,1178,32479,21192,19404880,624693,0
5,2475036,1016326,6154390,302605638,46749840,38967115,50270527,756170917,381,260105,4082677,129098029,4071,110741,71741,60135061,1024263,0
5,3481590,1269996,9812321,262758391,61216989,59269869,63399142,1047987483,273,508488,5599820,107507711,7830,214470,138532,95756096,1280664,0
8,4407508,1437431,12549621,230450516,70727849,74671015,72103660,1246786886,444,795925,6937600,93846901,12482,336919,216433,122540584,1447336,0
8,5277647,1545889,14498554,206895851,76995072,85858420,77861157,1381110145,509,1110101,8143514,84841334,17536,469554,300553,141585649,1554824,0
1,6102422,1613785,15867964,190400430,81160638,93883724,81704546,1471886237,548,1440504,9260045,79026023,22893,608873,387684,154887237,1620909,0
5,6935119,1658538,16826571,178948954,83930883,99705105,84266293,1533682746,468,1796221,10369069,75071851,28783,755890,480260,164258703,1666091,0
9,7762436,1679592,17508430,171018932,85796342,103946285,85997164,1576081036,504,2163284,11449657,72577992,34571,909613,576932,170928803,1693687,0
9,8623423,1697376,18002023,165527705,87072999,107105573,87184887,1605758044,548,2559674,12564018,70846189,41150,1073857,679021,175807501,1708762,0
5,9544293,1710089,18379520,161768647,87924875,109502650,87979778,1626719153,450,2983629,13759726,69647324,48545,1251666,788409,179489800,1721355,0
4,10499507,1718187,18671085,159219369,88518541,111383223,88538611,1641915955,580,3432807,14987770,68963794,56635,1434673,903754,182349584,1730538,0
7,11523839,1711692,18890898,157442418,88935311,112925526,88930656,1653333140,417,3918823,16293949,68323678,64796,1637394,1027211,184674617,1731708,0
3,12716396,1722254,19100137,156460978,89213845,114231711,89192876,1662072787,566,4481714,17825056,67987035,74385,1871300,1170321,186681238,1737023,0
13,13959901,1729222,19272051,155904484,89432565,115303780,89400134,1669088965,667,5075240,19426479,67737329,84610,2114067,1320334,188457924,1739457,0
6,15384648,1729603,19440715,155802176,89587649,116298392,89546986,1675034737,516,5749490,21251883,67545245,95759,2394172,1493805,190145072,1742359,0
8,16998824,1730718,19594936,156060448,89706333,117277904,89662472,1680381773,506,6513604,23326644,67462087,109443,2715231,1686365,191830702,1743687,0
5,18788105,1727285,19754166,156558131,89808465,118202702,89759678,1685464103,475,7377607,25604417,67273428,124674,3065689,1901509,193511258,1740719,0
3,20881479,1730560,19934489,157460485,89892347,119183746,89840911,1690440275,474,8378191,28290443,67207926,142592,3477245,2152853,195325176,1741922,0
7,23389124,1726668,20129978,158732150,89963463,120229607,89909760,1695687820,537,9578907,31494110,67225961,163253,3971376,2452460,197380178,1741035,0
5,26385199,1730019,20361413,160440973,90037950,121408820,89982870,1701580390,579,11010689,35336113,67149057,187815,4561579,2810633,199733069,1742229,0
11,30136547,1732070,20616095,162776601,90104785,122834672,90050082,1708341410,585,12803896,40135648,67185185,219421,5299725,3261051,202576971,1742927,0
12,34717593,1728605,20942503,165700619,90183858,124509905,90127971,1716452955,591,14997570,46004216,67130140,259196,6201501,3805975,206015449,1743362,0
7,40670909,1729501,21346574,169648242,90273289,126594405,90215709,1726486050,575,17847991,53618605,67112974,309198,7375135,4518887,210360988,1740688,0
14,49041454,1733554,21916434,175364918,90401914,129512432,90343943,1740487450,635,21861908,64326174,67151153,380045,9018829,5513783,216468349,1744068,0
10,61245269,1734210,22745876,183771276,90561719,133697780,90502953,1760434784,483,27709209,79954296,67202279,484850,11420674,6969283,225264105,1742735,0
9,80178260,1731058,24017603,196936936,90821295,140111318,90763410,1791318918,648,36783111,104185659,67304302,643139,15144766,9227841,238875075,1743374,0
3,117445899,1732345,26507222,223151533,91310619,152691562,91251208,1851359760,603,54641927,151880307,67491294,959953,22479610,13663214,265513375,1743737,0
5,213039356,1728454,32898180,290564550,92558676,184893589,92498041,2005454776,528,100459690,274227890,68069614,1771001,41288922,25044886,333880125,1743445,0
