TrackID,ParticleName,Energy,PosX,PosY,PosZ,EventType
1,gamma,15,0,0,330,Detection
1,gamma,0.640645,110.589,330,-40.1366,Detection
1,gamma,15,0,0,330,Detection
1,gamma,11.8897,44.2536,-2.5565,330,Detection
1,gamma,2.27614,71.687,234.708,330,Detection
1,gamma,0.609144,-330,-138.786,67.0478,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,3.80052,159.441,9.57123,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,11.6938,38.4599,-25.308,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.66455,-67.4598,-330,190.741,Detection
1,gamma,15,0,0,330,Detection
1,gamma,12.6293,21.2976,-30.1675,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.90323,192.411,302.722,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,8.91014,73.1535,10.8071,330,Detection
1,gamma,0.622681,274.683,-330,-52.9489,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.41606,251.238,-265.56,330,Detection
1,gamma,0.637336,59.427,-330,71.5388,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,5.60222,-90.486,75.3989,330,Detection
1,gamma,0.386942,-330,-102.907,-146.651,Detection
1,gamma,0.709772,-166.017,330,-40.3757,Detection
1,gamma,10.1467,-51.5839,31.1711,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.387461,-112.893,330,-113.503,Detection
1,gamma,2.36611,230.978,49.7955,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.02241,228.694,129.96,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.407103,-199.912,330,-302.656,Detection
1,gamma,1.38678,-330,79.8772,293.002,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.26011,16.0647,330,262.628,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.546435,330,53.4058,23.4619,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,12.6412,-14.0224,-33.753,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,11.8159,-35.91,-25.0579,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.50786,-214.408,72.7273,330,Detection
1,gamma,0.953347,-105.838,-330,191.546,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,14.2723,6.32678,-18.4229,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,3.17513,-167.822,75.6595,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.62486,214.631,-229.028,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,10.3767,-46.5262,36.7858,330,Detection
1,gamma,11.2256,-18.0134,-46.5323,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,3.08948,-149.837,118.747,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.59742,-87.1169,203.942,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.458966,-330,-230.574,-259.045,Detection
1,gamma,15,0,0,330,Detection
1,gamma,2.49907,34.977,81.7727,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.03199,33.8169,-52.6572,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,12.6024,37.7368,2.56597,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,1.30172,330,-40.7637,212.924,Detection
1,gamma,6.90941,88.4308,-41.0643,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,3.17408,111.193,-6.33278,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,0.865413,-24.9983,-330,168.168,Detection
1,gamma,15,0,0,330,Detection
1,gamma,3.3333,44.5013,-166.36,330,Detection
1,gamma,8.64833,-6.6319,-76.8289,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,9.55574,-64.4099,17.9612,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,8.80501,14.8587,-69.8608,330,Detection
1,gamma,6.20462,63.4684,-79.6191,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
1,gamma,15,0,0,330,Detection
